target_ts,model,issued_at,issued_day,horizon,point,actual,abs_err,sq_err,pinball,covered80
2026-08-09,climatology,2026-08-09T15:15:28Z,2026-08-09,1,21.4605,26.4000,4.9395,24.3987,1.9271,0
2026-08-09,persistence,2026-08-09T15:15:28Z,2026-08-09,1,24.1000,26.4000,2.3000,5.2900,0.7889,1
2026-08-09,seasonal_naive,2026-08-09T15:15:28Z,2026-08-09,1,21.5000,26.4000,4.9000,24.0100,,
2026-08-09,tabicl,2026-08-09T15:15:28Z,2026-08-09,1,23.4397,26.4000,2.9603,8.7634,1.0266,1
2026-08-10,climatology,2026-08-09T15:15:28Z,2026-08-09,2,21.5054,26.3000,4.7946,22.9882,1.9236,0
2026-08-10,climatology,2026-08-10T08:09:15Z,2026-08-10,1,21.6342,26.3000,4.6658,21.7697,1.8348,0
2026-08-10,persistence,2026-08-09T15:15:28Z,2026-08-09,2,24.1000,26.3000,2.2000,4.8400,0.7212,1
2026-08-10,persistence,2026-08-10T08:09:15Z,2026-08-10,1,26.4000,26.3000,0.1000,0.0100,0.2444,1
2026-08-10,seasonal_naive,2026-08-09T15:15:28Z,2026-08-09,2,20.7000,26.3000,5.6000,31.3600,,
2026-08-10,seasonal_naive,2026-08-10T08:09:15Z,2026-08-10,1,20.7000,26.3000,5.6000,31.3600,,
2026-08-10,tabicl,2026-08-09T15:15:28Z,2026-08-09,2,23.2803,26.3000,3.0197,9.1186,1.0177,1
2026-08-10,tabicl,2026-08-10T08:09:15Z,2026-08-10,1,25.5697,26.3000,0.7303,0.5333,0.3997,1
2026-08-11,climatology,2026-08-09T15:15:28Z,2026-08-09,3,21.7028,25.7000,3.9972,15.9776,1.5500,0
2026-08-11,climatology,2026-08-10T08:09:15Z,2026-08-10,2,21.8297,25.7000,3.8703,14.9792,1.4709,1
2026-08-11,climatology,2026-08-11T07:42:26Z,2026-08-11,1,21.9474,25.7000,3.7526,14.0820,1.4132,1
2026-08-11,persistence,2026-08-09T15:15:28Z,2026-08-09,3,24.1000,25.7000,1.6000,2.5600,0.5858,1
2026-08-11,persistence,2026-08-10T08:09:15Z,2026-08-10,2,26.4000,25.7000,0.7000,0.4900,0.4111,1
2026-08-11,persistence,2026-08-11T07:42:26Z,2026-08-11,1,26.3000,25.7000,0.6000,0.3600,0.2833,1
2026-08-11,seasonal_naive,2026-08-09T15:15:28Z,2026-08-09,3,24.1000,25.7000,1.6000,2.5600,,
2026-08-11,seasonal_naive,2026-08-10T08:09:15Z,2026-08-10,2,24.1000,25.7000,1.6000,2.5600,,
2026-08-11,seasonal_naive,2026-08-11T07:42:26Z,2026-08-11,1,24.1000,25.7000,1.6000,2.5600,,
2026-08-11,tabicl,2026-08-09T15:15:28Z,2026-08-09,3,23.1433,25.7000,2.5567,6.5367,0.8648,1
2026-08-11,tabicl,2026-08-10T08:09:15Z,2026-08-10,2,25.7889,25.7000,0.0889,0.0079,0.4194,1
2026-08-11,tabicl,2026-08-11T07:42:26Z,2026-08-11,1,26.3604,25.7000,0.6604,0.4361,0.3148,1
2026-08-12,climatology,2026-08-09T15:15:28Z,2026-08-09,4,22.0057,28.1000,6.0943,37.1405,2.7073,0
2026-08-12,climatology,2026-08-10T08:09:15Z,2026-08-10,3,22.1278,28.1000,5.9722,35.6672,2.5783,0
2026-08-12,climatology,2026-08-11T07:42:26Z,2026-08-11,2,22.2405,28.1000,5.8595,34.3337,2.4882,0
2026-08-12,climatology,2026-08-12T07:56:30Z,2026-08-12,1,22.3316,28.1000,5.7684,33.2744,2.4320,0
2026-08-12,persistence,2026-08-09T15:15:28Z,2026-08-09,4,24.1000,28.1000,4.0000,16.0000,1.3363,1
2026-08-12,persistence,2026-08-10T08:09:15Z,2026-08-10,3,26.4000,28.1000,1.7000,2.8900,0.6007,1
2026-08-12,persistence,2026-08-11T07:42:26Z,2026-08-11,2,26.3000,28.1000,1.8000,3.2400,0.6044,1
2026-08-12,persistence,2026-08-12T07:56:30Z,2026-08-12,1,25.7000,28.1000,2.4000,5.7600,0.8278,1
2026-08-12,seasonal_naive,2026-08-09T15:15:28Z,2026-08-09,4,27.4000,28.1000,0.7000,0.4900,,
2026-08-12,seasonal_naive,2026-08-10T08:09:15Z,2026-08-10,3,27.4000,28.1000,0.7000,0.4900,,
2026-08-12,seasonal_naive,2026-08-11T07:42:26Z,2026-08-11,2,27.4000,28.1000,0.7000,0.4900,,
2026-08-12,seasonal_naive,2026-08-12T07:56:30Z,2026-08-12,1,27.4000,28.1000,0.7000,0.4900,,
2026-08-12,tabicl,2026-08-09T15:15:28Z,2026-08-09,4,22.8992,28.1000,5.2008,27.0483,1.8300,0
2026-08-12,tabicl,2026-08-10T08:09:15Z,2026-08-10,3,25.7488,28.1000,2.3512,5.5281,0.8091,1
2026-08-12,tabicl,2026-08-11T07:42:26Z,2026-08-11,2,26.1316,28.1000,1.9684,3.8746,0.6669,1
2026-08-12,tabicl,2026-08-12T07:56:30Z,2026-08-12,1,25.1607,28.1000,2.9393,8.6395,1.0148,0
